name,instance,run_id,test_FACILITY-BUILDING/macro_types/recall,test_LOCATION-REGION/macro_types/precision,test_ORGANIZATION-MUSEUM/macro_types/recall,test_ORGANIZATION-GOVERNMENT/macro_types/recall,test_FACILITY/macro_types/f1,test_PRODUCT/macro_types/recall,test_WORK_OF_ART-SONG/macro_types/f1,test_SUBSTANCE/macro_types/precision,test_DISEASE/macro_types/f1,test_PRODUCT/macro_types/f1,test_DISEASE/macro_types/precision,test_LANGUAGE/macro_types/precision,test_FACILITY-HIGHWAY_STREET/macro_types/f1,test/macro_example/recall,test_EVENT/macro_types/recall,test_PERSON/macro_types/precision,test_SUBSTANCE/macro_types/recall,test_GPE-COUNTRY/macro_types/precision,test_LOCATION-CONTINENT/macro_types/f1,test_LOCATION-RIVER/macro_types/recall,test_CONTACT_INFO-url/macro_types/recall,test/micro/recall,test/macro_types/f1,test_LOCATION-LAKE_SEA_OCEAN/macro_types/f1,test_PERSON/macro_types/f1,test_LOCATION-RIVER/macro_types/f1,test_FACILITY-AIRPORT/macro_types/recall,test_ORGANIZATION/macro_types/precision,test_ORGANIZATION-CORPORATION/macro_types/precision,test_LANGUAGE/macro_types/f1,test_PRODUCT/macro_types/precision,test_FACILITY-BRIDGE/macro_types/f1,test_ANIMAL/macro_types/precision,test/macro_types/precision,test_LAW/macro_types/recall,test_GAME/macro_types/precision,test_CONTACT_INFO-url/macro_types/precision,test_WORK_OF_ART-PLAY/macro_types/f1,test_GPE-STATE_PROVINCE/macro_types/f1,test_LOCATION-RIVER/macro_types/precision,test_PLANT/macro_types/f1,test_LANGUAGE/macro_types/recall,test_LOCATION/macro_types/recall,test_ORGANIZATION-RELIGIOUS/macro_types/f1,test_ORGANIZATION-HOSPITAL/macro_types/recall,test/macro_types/recall,test_ORGANIZATION-HOTEL/macro_types/f1,test_FACILITY-AIRPORT/macro_types/f1,test_ORGANIZATION/macro_types/recall,test_SUBSTANCE/macro_types/f1,test_CONTACT_INFO/macro_types/f1,test_GPE-CITY/macro_types/recall,test_ORGANIZATION-POLITICAL/macro_types/recall,test_GAME/macro_types/f1,test_GPE/macro_types/recall,test_EVENT-HURRICANE/macro_types/recall,test_FACILITY-BRIDGE/macro_types/recall,test_WORK_OF_ART-SONG/macro_types/recall,test_WORK_OF_ART-SONG/macro_types/precision,test_FACILITY-BUILDING/macro_types/precision,test_WORK_OF_ART/macro_types/f1,test_WORK_OF_ART/macro_types/precision,test_EVENT-HURRICANE/macro_types/precision,test_ORGANIZATION/macro_types/f1,test_FACILITY-BUILDING/macro_types/f1,test_CONTACT_INFO-url/macro_types/f1,test_FACILITY-BRIDGE/macro_types/precision,test_LOCATION-CONTINENT/macro_types/precision,threshold,test_PLANT/macro_types/precision,test_SUBSTANCE-DRUG/macro_types/precision,test_WORK_OF_ART-PLAY/macro_types/precision,test_ORGANIZATION-MUSEUM/macro_types/precision,test_FACILITY-HIGHWAY_STREET/macro_types/recall,test_GPE-CITY/macro_types/f1,test_SUBSTANCE-DRUG/macro_types/recall,test_PRODUCT-WEAPON/macro_types/precision,test_WORK_OF_ART-PLAY/macro_types/recall,test_ORGANIZATION-EDUCATIONAL/macro_types/f1,test_ORGANIZATION-CORPORATION/macro_types/recall,test_ORGANIZATION-EDUCATIONAL/macro_types/precision,test_LAW/macro_types/precision,test_FACILITY/macro_types/recall,test_SUBSTANCE-FOOD/macro_types/f1,test_SUBSTANCE-CHEMICAL/macro_types/f1,test_WORK_OF_ART-BOOK/macro_types/recall,test_LOCATION-CONTINENT/macro_types/recall,test_PRODUCT-VEHICLE/macro_types/precision,test_ORGANIZATION-RELIGIOUS/macro_types/recall,test/micro/precision,test_ORGANIZATION-HOTEL/macro_types/recall,test_WORK_OF_ART-BOOK/macro_types/precision,test_PRODUCT-WEAPON/macro_types/f1,test_CONTACT_INFO/macro_types/recall,test_LOCATION-REGION/macro_types/recall,test_FACILITY-ATTRACTION/macro_types/precision,test_FACILITY-HIGHWAY_STREET/macro_types/precision,epoch,test_GPE-CITY/macro_types/precision,test_ORGANIZATION-HOSPITAL/macro_types/precision,test/micro/f1,test_ANIMAL/macro_types/f1,test_ORGANIZATION-POLITICAL/macro_types/precision,test_EVENT-WAR/macro_types/recall,test_SUBSTANCE-CHEMICAL/macro_types/recall,test_FACILITY-ATTRACTION/macro_types/recall,test_ORGANIZATION-CORPORATION/macro_types/f1,test_PLANT/macro_types/recall,test_GPE/macro_types/precision,test_PERSON/macro_types/recall,test_ORGANIZATION-RELIGIOUS/macro_types/precision,test/macro_example/precision,test_FACILITY/macro_types/precision,test_EVENT-HURRICANE/macro_types/f1,test_PRODUCT-VEHICLE/macro_types/recall,test_ORGANIZATION-POLITICAL/macro_types/f1,test_ORGANIZATION-GOVERNMENT/macro_types/precision,test_LOCATION/macro_types/f1,test_ANIMAL/macro_types/recall,test_DISEASE/macro_types/recall,test_EVENT-WAR/macro_types/f1,test_WORK_OF_ART/macro_types/recall,test_EVENT/macro_types/precision,test_GPE-STATE_PROVINCE/macro_types/recall,test_GPE/macro_types/f1,test_LAW/macro_types/f1,test_GPE-COUNTRY/macro_types/f1,test_SUBSTANCE-FOOD/macro_types/recall,test_ORGANIZATION-MUSEUM/macro_types/f1,test_SUBSTANCE-FOOD/macro_types/precision,test_ORGANIZATION-HOTEL/macro_types/precision,test_SUBSTANCE-CHEMICAL/macro_types/precision,test_PRODUCT-VEHICLE/macro_types/f1,test_WORK_OF_ART-BOOK/macro_types/f1,test_GPE-COUNTRY/macro_types/recall,test_LOCATION-REGION/macro_types/f1,test_LOCATION/macro_types/precision,test_EVENT-WAR/macro_types/precision,test_GPE-STATE_PROVINCE/macro_types/precision,test/macro_example/f1,test_EVENT/macro_types/f1,test_LOCATION-LAKE_SEA_OCEAN/macro_types/precision,test_PRODUCT-WEAPON/macro_types/recall,test_ORGANIZATION-HOSPITAL/macro_types/f1,test_ORGANIZATION-GOVERNMENT/macro_types/f1,test_ORGANIZATION-EDUCATIONAL/macro_types/recall,test_GAME/macro_types/recall,test_SUBSTANCE-DRUG/macro_types/f1,test_CONTACT_INFO/macro_types/precision,test_FACILITY-ATTRACTION/macro_types/f1,test_FACILITY-AIRPORT/macro_types/precision,test_LOCATION-LAKE_SEA_OCEAN/macro_types/recall
figer_L2AWE_adapter_bert_ms,2,21z9bkt6,0,0.39814814925193787,0,0.7426376342773438,0,0.37823835015296936,0.07692307978868484,0.8422496318817139,0.8631578683853149,0.3303167521953583,0.8199999928474426,1.0,0,0.898777186870575,0.949999988079071,0.6292262077331543,0.9489953517913818,0.9235293865203856,0.9516128897666932,0.46666666865348816,0,0.8984761834144592,0.478809654712677,0,0.762651264667511,0.3589743673801422,0,0.8558192253112793,0.7850715517997742,0.555555522441864,0.293172687292099,0,0.8591549396514893,0.4222254157066345,0.6301369667053223,0.5,0,0,0.852173924446106,0.2916666567325592,0.1978022009134293,0.3846153914928436,0.8032786846160889,0.4000000059604645,1.0,0.5529071092605591,0.5,0,0.9464317560195924,0.8924418687820435,0,0.9454390406608582,0.8904109597206116,0.0615384541451931,0.9508489966392516,0.875,0,0.0555555559694767,0.125,0,0.48606806993484497,0.34657835960388184,0.875,0.8988475799560547,0,0,0,0.9833333492279052,0.21,0.1139240488409996,0.21245421469211576,0,0,0,0.7946972250938416,1.0,0.1428571492433548,0,0.3515625298023224,0.885582447052002,0.2238806039094925,0.9387755393981934,0,0.7331786155700684,0.4334203600883484,0.7941176295280457,0.921875,0.800000011920929,0.5,0.6800616979598999,0.5,0.08517350256443024,0.20000000298023224,0,0.646616518497467,0,0,53,0.6854140758514404,0.2857142984867096,0.7741584777832031,0.7484662532806396,0.6632652878761292,1,0.518750011920929,0,0.8323034644126892,0.75,0.8444444537162781,0.9678882956504822,0.3333333432674408,0.7533277273178101,0,0.875,0.37735849618911743,0.7602338790893555,0.8089261054992676,0.1922511011362076,0.6630434989929199,0.9111111164093018,0.3283582031726837,0.8134714961051941,0.4153005480766296,0.7538461685180664,0.8944935202598572,0.7540982961654663,0.9121277928352356,0.929411768913269,0,0.6053639650344849,0.5,0.372197300195694,0.5128205418586731,0.1538461595773697,0.9010043144226074,0.4928367137908935,0.10919220000505447,0.1964285671710968,0.9800000190734864,0.819649875164032,0.5779467821121216,0,0.3333333432674408,0.444444477558136,0.7743657827377319,0.8181818127632141,0.032786883413791656,0.3504531681537628,0,0,0,0
figer_L2AWE_adapter_bert_ms,1,2uk7tink,0,0.38009050488471985,0,0.7080665826797485,0,0.3316062092781067,0.41860467195510864,0.8668555021286011,0.9473683834075928,0.30188676714897156,0.8999999761581421,0.7692307829856873,0,0.917199730873108,0.962499976158142,0.5729082226753235,0.9459041953086852,0.9284671545028688,0.9172931909561156,0.5333333611488342,0,0.9166262149810792,0.4759375154972077,0,0.7243548631668091,0.5,0,0.8369259834289551,0.7420316934585571,0.7692307829856873,0.2770562767982483,0,0.8285714387893677,0.4161974787712097,0.7534246444702148,0.0,0,0,0.8595890998840332,0.47058823704719543,0.14746543765068054,0.7692307829856873,0.8032786846160889,0.3636363744735718,0.5,0.5557016730308533,0.0,0,0.96314936876297,0.9046563506126404,0,0.9658994078636168,0.835616409778595,0.0,0.968275249004364,0.875,0,0.5,0.36000001430511475,0,0.49852505326271057,0.3484536111354828,1.0,0.8956122398376465,0,0,0,0.8840579986572266,0.17,0.08290155231952667,0.19078947603702545,0,0,0,0.680889368057251,1.0,0.1666666716337204,0,0.3498098850250244,0.9183390736579896,0.2211538404226303,0.948275864124298,0,0.8258426785469055,0.4878048896789551,0.8529411554336548,0.953125,0.640625,0.3333333432674408,0.6397073864936829,0.0,0.09797297418117525,0.222222238779068,0,0.6315789222717285,0,0,21,0.5257540345191956,1.0,0.7535306811332703,0.7160493731498718,0.8026315569877625,1,0.75,0,0.8208247423171997,0.6666666865348816,0.7358234524726868,0.984642207622528,0.4000000059604645,0.7211896181106567,0,0.9333333373069764,0.3867924511432648,0.818791925907135,0.8072992563247681,0.1948309987783432,0.6304348111152649,1.0,0.3384615480899811,0.8756476640701294,0.3407079577445984,0.7723076939582825,0.8361952900886536,0.8396946787834167,0.9204051494598388,0.8647058606147766,0,0.7903226017951965,0.0,0.3614457845687866,0.4823529720306397,0.17575757205486298,0.9124820828437804,0.47457629442214966,0.1108597293496132,0.20370370149612427,0.969111979007721,0.8074697852134705,0.5032680034637451,0,0.3333333432674408,0.6666666865348816,0.754433810710907,0.8363636136054993,0.0,0.32044199109077454,0,0,0,0
figer_L2AWE_adapter_bert_ms,0,3d89225h,0,0.39269405603408813,0,0.7516005039215088,0,0.3108808398246765,0.5142857432365417,0.8553370833396912,0.7766990661621094,0.3007518947124481,0.6896551847457886,0.8888888955116272,0,0.8885334730148315,0.949999988079071,0.6463384628295898,0.9412673711776732,0.9307805299758912,0.9402984976768494,0.6000000238418579,0,0.892507016658783,0.5020055174827576,0,0.7596430778503418,0.4000000059604645,0,0.848221480846405,0.7638201117515564,0.7272727489471436,0.291262149810791,0,0.859375,0.455206036567688,0.698630154132843,1.0,0,0,0.8692699670791626,0.30000001192092896,0.25,0.6153846383094788,0.8155737519264221,0.2857142686843872,1.0,0.55953049659729,0.5714285969734192,0,0.9473305940628052,0.8962472081184387,0,0.931798815727234,0.7808219194412231,0.1230769082903862,0.9508489966392516,0.875,0,0.5,0.529411792755127,0,0.5266667008399963,0.3882063925266266,1.0,0.89504075050354,0,0,0,0.8999999761581421,0.28,0.14374999701976776,0.22529643774032593,0,0,0,0.8051564693450928,0.982758641242981,0.0,0,0.43076926469802856,0.8892733454704285,0.30000001192092896,0.8947368264198303,0,0.8100558519363403,0.41206032037734985,0.9411764740943908,0.984375,0.7843137383460999,0.3333333432674408,0.6904565095901489,0.4000000059604645,0.11721611768007278,0.0,0,0.646616518497467,0,0,48,0.7088196873664856,0.25,0.7785868644714355,0.7051281929016113,0.8636363744735718,1,0.512499988079071,0,0.8217864036560059,0.9583333134651184,0.8213045001029968,0.9211169481277466,0.25,0.7535123229026794,0,0.9333333373069764,0.37735849618911743,0.8201438784599304,0.8397710919380188,0.20718376338481903,0.5978260636329651,0.8888888955116272,0.4680850803852082,0.818652868270874,0.4021163880825043,0.7876923084259033,0.8813418745994568,0.7846153974533081,0.918604612350464,0.8529411554336548,0,0.771276593208313,1.0,0.3445378243923187,0.5095541477203369,0.20846904814243317,0.9067431688308716,0.4886363446712494,0.11866427958011629,0.3055555522441864,0.9696969985961914,0.8154717087745667,0.5650557279586792,0,0.0,0.4000000059604645,0.7932432293891907,0.7636363506317139,0.06557376682758331,0.3665595054626465,0,0,0,0
ontonotes_shimaoka_L2AWE_adapter_bert_ms,2,1oxdybfv,0,0.3679245412349701,0,0.6632522344589233,0,0.29015544056892395,0.1538461595773697,0.9067668914794922,0.9677419066429138,0.2916666865348816,0.9375,0.75,0,0.8541176915168762,0.975000023841858,0.6522423028945923,0.931993842124939,0.9305949211120604,0.9185184836387634,0.5333333611488342,0,0.8603804707527161,0.46369218826293945,0,0.744833767414093,0.4848484694957733,0,0.8628649115562439,0.7651421427726746,0.3529411852359772,0.2931937277317047,0,0.6849315166473389,0.4206522703170776,0.6849315166473389,0.0,0,0,0.8445945382118225,0.4444444477558136,0.17999999225139618,0.2307692319154739,0.7909836173057556,0.2857142686843872,1.0,0.5165433883666992,0.0,0,0.9138953685760498,0.9192073345184326,0,0.9173060655593872,0.8082191944122314,0.0,0.9383378028869628,1.0,0,0.1111111119389534,0.25,0,0.5245901346206665,0.40449437499046326,0.8888888955116272,0.887647271156311,0,0,0,0.8732394576072693,0.38,0.10227272659540176,0.2145593911409378,0,0,0,0.8546465635299683,0.9655172228813172,0.1666666716337204,0,0.42056071758270264,0.8567473888397217,0.2830188572406769,0.8928571343421936,0,0.8069164156913757,0.4332493841648102,0.3529411852359772,0.96875,0.6595744490623474,0.3333333432674408,0.7125517725944519,0.0,0.0714285746216774,0.222222238779068,0,0.5864661931991577,0,0,29,0.800000011920929,0.6666666865348816,0.7795193791389465,0.6060605645179749,0.8550724387168884,1,0.5375000238418579,0,0.8083577752113342,0.75,0.9075194597244264,0.8680628538131714,0.25,0.7568237781524658,0,0.9411765336990356,0.2924528419971466,0.8309858441352844,0.8464052081108093,0.22786304354667664,0.54347825050354,1.0,0.5238094925880432,0.7461140155792236,0.4642857015132904,0.7692307829856873,0.922671377658844,0.7751938104629517,0.936564564704895,0.8235294222831726,0,0.790960431098938,0.0,0.3628692030906677,0.4052287638187408,0.11881189048290253,0.9426112174987792,0.4521739184856415,0.13310344517230988,0.35483869910240173,0.9363296031951904,0.8025327324867249,0.6290322542190552,0,0.3333333432674408,0.800000011920929,0.7437186241149902,0.8181818127632141,0.0,0.3510971963405609,0,0,0,0
ontonotes_shimaoka_L2AWE_adapter_bert_ms,1,q8gr9tuy,0,0.35353535413742065,0,0.7439180612564087,0,0.4455958604812622,0.1785714328289032,0.8390646576881409,0.918367326259613,0.32089555263519287,0.849056601524353,0.7777777910232544,0,0.8815692663192749,0.975000023841858,0.5667604207992554,0.942812979221344,0.9227467775344848,0.911764681339264,0.5333333611488342,0,0.8844025731086731,0.4769247770309448,0,0.6997060775756836,0.4705882668495178,0,0.840680718421936,0.7639424204826355,0.636363685131073,0.25072887539863586,0,0.7395833134651184,0.4166436791419983,0.698630154132843,0.8571428656578064,0,0,0.8475711345672607,0.42105263471603394,0.17435897886753082,0.5384615659713745,0.8155737519264221,0.2666666507720947,1.0,0.5575997829437256,0.5333333611488342,0,0.9324105978012084,0.8879185318946838,0,0.9403239488601683,0.7808219194412231,0.1764705926179886,0.9517426490783693,1.0,0,0.2777777910232544,0.1315789520740509,0,0.4557377099990845,0.3333333432674408,0.8888888955116272,0.8841728568077087,0,0,0,0.8611111044883728,0.23,0.09941520541906355,0.1812080591917038,0,0,0,0.7847740650177002,0.931034505367279,0.11764705926179886,0,0.3783783614635467,0.8689734935760498,0.2514970004558563,0.8225806355476379,0,0.6723403930664062,0.48557692766189575,0.4117647111415863,0.96875,0.5,0.3333333432674408,0.6634870767593384,0.4000000059604645,0.05857740715146065,0.20000000298023224,0,0.5263158082962036,0,0,36,0.6733821630477905,0.4000000059604645,0.7581802010536194,0.7553191184997559,0.8769230842590332,1,0.6312500238418579,0,0.8130800724029541,0.7083333134651184,0.8550782799720764,0.9141361117362976,0.2222222238779068,0.7338307499885559,0,0.9411765336990356,0.2830188572406769,0.8260869383811951,0.7872628569602966,0.22086569666862488,0.77173912525177,1.0,0.3793103694915771,0.7202072739601135,0.3263598382472992,0.7784615159034729,0.9008247256278992,0.7555555105209351,0.924068808555603,0.929411768913269,0,0.5266666412353516,0.800000011920929,0.39453125,0.3614457845687866,0.10256410390138626,0.9253945350646972,0.4229607284069062,0.12772785127162933,0.2340425550937653,0.9301470518112184,0.8009442090988159,0.4890282154083252,0,0.6666666865348816,0.5714285969734192,0.7649770379066467,0.7636363506317139,0.09836065769195557,0.30337080359458923,0,0,0,0
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0,z7eox9er,0,0.3700000047683716,0,0.6824584007263184,0,0.2953367829322815,0.13793103396892548,0.8541374206542969,0.9375,0.28428927063941956,0.8823529481887817,0.8333333134651184,0,0.8588548898696899,0.949999988079071,0.6474342346191406,0.9412673711776732,0.9252873659133912,0.8811188340187073,0.5333333611488342,0,0.8640201687812805,0.4710662066936493,0,0.747861921787262,0.4848484694957733,0,0.8667463064193726,0.7867186069488525,0.5263158082962036,0.2740384638309479,0,0.792682945728302,0.4253714084625244,0.30136987566947937,0.0,0,0,0.8105263113975525,0.4444444477558136,0.16580311954021454,0.3846153914928436,0.8483606576919556,0.222222238779068,1.0,0.5277599096298218,0.1818181872367859,0,0.9131763577461244,0.895588219165802,0,0.947144091129303,0.8493150472640991,0.0,0.9562109112739564,1.0,0,0.1111111119389534,0.1818181872367859,0,0.3994673788547516,0.2688172161579132,0.800000011920929,0.8893557190895081,0,0,0,0.797468364238739,0.28,0.09467455744743349,0.20224718749523163,0,0,0,0.7677953839302063,0.931034505367279,0.20000000298023224,0,0.5443786978721619,0.838985025882721,0.4035087823867798,0.95652174949646,0,0.803108811378479,0.4449540972709656,0.7058823704719543,0.984375,0.6666666865348816,0.3333333432674408,0.6854546666145325,0.10000000149011612,0.0628272220492363,0.25,0,0.5563910007476807,0,0,34,0.6455549001693726,0.6666666865348816,0.7644482254981995,0.7471264600753784,0.7469879388809204,1,0.606249988079071,0,0.8120116591453552,0.6666666865348816,0.8081570863723755,0.885165810585022,0.1666666716337204,0.7415242195129395,0,0.888888955116272,0.2830188572406769,0.7948717474937439,0.8487260937690735,0.22898231446743011,0.70652174949646,1.0,0.40740740299224854,0.7772020697593689,0.39790576696395874,0.7107692360877991,0.8759721517562866,0.4583333432674408,0.9246231317520142,0.911764681339264,0,0.7175925970077515,1.0,0.35144928097724915,0.3973509967327118,0.11538460850715636,0.9239598512649536,0.4444444477558136,0.13235294818878174,0.25581395626068115,0.9428571462631226,0.7958885431289673,0.5608856081962585,0,0.3333333432674408,0.800000011920929,0.7565649747848511,0.8363636136054993,0.0,0.3323076665401459,0,0,0,0
figer_kenn_adapter_bert_ms,2,32wfr9al,0,0.38181817531585693,0,0.6850191950798035,0,0.39896371960639954,0.3846153914928436,0.8841201663017273,0.918367326259613,0.3460673987865448,0.849056601524353,0.7777777910232544,0,0.8912867307662964,0.925000011920929,0.6104549169540405,0.9551777243614196,0.923184335231781,0.953125,0.4000000059604645,0,0.8887702822685242,0.4923366606235504,0,0.7505714893341064,0.3870967924594879,0,0.899149477481842,0.7975447177886963,0.636363685131073,0.3055555522441864,0,0.9242424368858336,0.4487762749195099,0.6438356041908264,0.0,0,0,0.8739495873451233,0.375,0.19512195885181427,0.5384615659713745,0.8196721076965332,0.5,1.0,0.5452624559402466,0.46153849363327026,0,0.9311522841453552,0.9182763695716858,0,0.9514066576957704,0.7808219194412231,0.0,0.9638069868087769,0.75,0,0.2777777910232544,0.625,0,0.5416666865348816,0.426865667104721,0.8571428656578064,0.914871096611023,0,0,0,0.953125,0.33,0.11428571492433548,0.20879121124744415,0,0,0,0.8227054476737976,0.982758641242981,0.10000000149011612,0,0.5000000596046448,0.8542098999023438,0.36752137541770935,0.9038461446762084,0,0.7721179723739624,0.42975205183029175,0.5882353186607361,0.953125,0.6833333373069763,0.6666666865348816,0.708471953868866,0.30000001192092896,0.10101009905338287,0.1538461595773697,0,0.6315789222717285,0,0,53,0.7246752977371216,0.3333333432674408,0.788444995880127,0.7721518874168396,0.7599999904632568,1,0.48750001192092896,0,0.8249053359031677,0.6666666865348816,0.8694074749946594,0.9741710424423218,0.4000000059604645,0.7675834894180298,0,0.7999999523162842,0.3867924511432648,0.7702702879905701,0.869918704032898,0.20975352823734283,0.6630434989929199,1.0,0.5641025900840759,0.7409326434135437,0.4966442883014679,0.800000011920929,0.9141767024993896,0.7519999146461487,0.9355980157852172,0.8470588326454163,0,0.7093595862388611,1.0,0.3842364549636841,0.4939759075641632,0.17241379618644714,0.9483500719070436,0.4759206473827362,0.12026458233594894,0.3928571343421936,0.9629629850387572,0.8248227834701538,0.6462882161140442,0,0.3333333432674408,0.5,0.7664756774902344,0.7818182110786438,0.0,0.34441086649894714,0,0,0,0
figer_kenn_adapter_bert_ms,1,5xtybqj8,0,0.3931623995304108,0,0.7170294523239136,0,0.41450777649879456,0.3529411554336548,0.8431105017662048,0.8823529481887817,0.37037038803100586,0.7894737124443054,0.692307710647583,0,0.9081301689147948,0.9375,0.612663745880127,0.9551777243614196,0.9232876896858216,0.9197079539299012,0.4000000059604645,0,0.9065320491790771,0.5021140575408936,0,0.7537944912910461,0.4615384638309479,0,0.8771228790283203,0.7733012437820435,0.692307710647583,0.33472803235054016,0,0.8970588445663452,0.4443655014038086,0.767123281955719,0.3333333432674408,0,0,0.8807947039604187,0.5454545617103577,0.2530120313167572,0.692307710647583,0.8483606576919556,0.42105263471603394,1.0,0.5771143436431885,0.444444477558136,0,0.94697105884552,0.895652174949646,0,0.9573742747306824,0.6301369667053223,0.10958903282880784,0.9642537832260132,0.875,0,0.3333333432674408,0.375,0,0.5573192834854126,0.4224599003791809,0.875,0.9107096791267396,0,0,0,0.8630136847496033,0.28,0.14788731932640076,0.221374049782753,0,0,0,0.8625192046165466,1.0,0.1428571492433548,0,0.3739130795001984,0.8899654150009155,0.24571429193019867,0.8888888955116272,0,0.7771738767623901,0.4009779989719391,0.6764705777168274,0.984375,0.6307692527770996,0.6666666865348816,0.7013328075408936,0.4000000059604645,0.10599078238010406,0.2352941334247589,0,0.6917293071746826,0,0,60,0.784765899181366,1.0,0.7908384799957275,0.762499988079071,0.7301587462425232,1,0.512499988079071,0,0.8275418281555176,0.875,0.911702573299408,0.9794066548347472,0.3076923191547394,0.7708464860916138,0,0.875,0.3867924511432648,0.6764705777168274,0.8433734774589539,0.21144025027751925,0.6630434989929199,1.0,0.47826087474823,0.818652868270874,0.4335260093212128,0.818461537361145,0.9372421503067015,0.8235294222831726,0.9446391463279724,0.841176450252533,0,0.7222222089767456,0.5,0.32931727170944214,0.4795321822166443,0.18326693773269653,0.9670014381408693,0.5013624429702759,0.12077012658119202,0.3142857253551483,0.9534050226211548,0.8338757753372192,0.5928853750228882,0,0.6666666865348816,1.0,0.775086522102356,0.7818182110786438,0.06557376682758331,0.36250001192092896,0,0,0,0
figer_kenn_adapter_bert_ms,0,ou9z59jj,0,0.3888888955116272,0,0.7362356185913086,0,0.3316062092781067,0.5454545617103577,0.8785714507102966,0.8571428656578064,0.31604936718940735,0.75,0.800000011920929,0,0.8833913207054138,0.9375,0.6369223594665527,0.9505409598350524,0.9311334490776062,0.8999999761581421,0.4000000059604645,0,0.8792584538459778,0.5046043992042542,0,0.7710112929344177,0.40000003576278687,0,0.9059283137321472,0.8049764633178711,0.695652186870575,0.30188679695129395,0,0.9193548560142516,0.4620019197463989,0.7808219194412231,0.27272728085517883,0,0,0.8537415266036987,0.4000000059604645,0.21192052960395813,0.6153846383094788,0.8278688788414001,0.5882353186607361,1.0,0.5558618903160095,0.4285714626312256,0,0.917490541934967,0.91314035654068,0,0.95652174949646,0.6712328791618347,0.0833333358168602,0.9584450125694276,0.875,0,0.5,0.6000000238418579,0,0.5414141416549683,0.443708598613739,1.0,0.9116727113723756,0,0,0,0.8289473652839661,0.36000000000000004,0.12598425149917605,0.26760563254356384,0,0,0,0.8775908946990967,0.982758641242981,0.3333333432674408,0,0.5341615080833435,0.8283737301826477,0.40566039085388184,0.9047619104385376,0,0.7651715278625488,0.4226190745830536,0.2647058963775635,0.984375,0.7884615659713745,0.8333333134651184,0.7314788699150085,0.30000001192092896,0.0625,0.444444477558136,0,0.6315789222717285,0,0,58,0.810693621635437,0.2222222238779068,0.7985895276069641,0.7402597665786743,0.765625,1,0.4437499940395355,0,0.8165075778961182,0.6666666865348816,0.9221839904785156,0.9766142964363098,0.4545454680919647,0.7851883769035339,0,0.9333333373069764,0.3867924511432648,0.7153284549713135,0.8698940873146057,0.22357499599456787,0.6195651888847351,1.0,0.6875,0.6943005323410034,0.46296295523643494,0.7723076939582825,0.9399649500846864,0.8382352590560913,0.9311334490776062,0.8529411554336548,0,0.6937798857688904,0.75,0.40340909361839294,0.5189873576164246,0.1011235937476158,0.9311334490776062,0.48137539625167847,0.12923865020275116,0.523809552192688,0.9543726444244384,0.8314000368118286,0.6198346614837646,0,0.6666666865348816,0.3636363744735718,0.7975035309791565,0.7818182110786438,0.04918032884597778,0.4206642210483551,0,0,0,0
ontonotes_shimaoka_kenn_adapter_bert_ms,2,2w2s96mt,0,0.3053097426891327,0,0.7490397095680237,0,0.3108808398246765,0.15000000596046448,0.8687589168548584,0.9574467539787292,0.28235292434692383,0.918367326259613,0.8333333134651184,0,0.8825005292892456,0.975000023841858,0.6445768475532532,0.9412673711776732,0.9339752197265624,0.911764681339264,0.5333333611488342,0,0.882461428642273,0.4750803411006927,0,0.7660056352615356,0.5333333611488342,0,0.8718951940536499,0.7763213515281677,0.5263158082962036,0.2586206793785095,0,0.7710843086242676,0.4278240203857422,0.6712328791618347,0.0,0,0,0.874193549156189,0.5333333611488342,0.20588235557079315,0.3846153914928436,0.868852436542511,0.13333332538604736,1.0,0.5340726375579834,0.1818181872367859,0,0.9212654829025269,0.9035608172416688,0,0.937766432762146,0.767123281955719,0.0,0.9593387246131896,1.0,0,0.1666666716337204,0.13636364042758942,0,0.4751203656196594,0.34418603777885437,0.800000011920929,0.8959007263183594,0,0,0,0.8611111044883728,0.29000000000000004,0.11666666716337204,0.19112628698349,0,0,0,0.8276900053024292,0.9655172228813172,0.1111111119389534,0,0.5,0.8470588326454163,0.36000001430511475,0.859649121761322,0,0.7623762488365173,0.440191388130188,0.3529411852359772,0.96875,0.5918367505073547,0.1666666716337204,0.6860592365264893,0.10000000149011612,0.0552995391190052,0.1666666716337204,0,0.518796980381012,0,0,29,0.7407407164573669,0.6666666865348816,0.7719641327857971,0.7314285039901733,0.8615384697914124,1,0.574999988079071,0,0.8101488947868347,0.875,0.8632891178131104,0.9438045620918274,0.1111111119389534,0.7498875856399536,0,0.888888955116272,0.27358490228652954,0.8115941882133484,0.8478260636329651,0.189964160323143,0.695652186870575,1.0,0.5789473652839661,0.7668393850326538,0.4262295067310333,0.8338461518287659,0.9087831377983092,0.7538461685180664,0.95365172624588,0.9058823585510254,0,0.6581196784973145,1.0,0.356589138507843,0.37419354915618896,0.09561752527952194,0.9741750359535216,0.3844011127948761,0.10663983970880508,0.40740740299224854,0.9186440706253052,0.8108074069023132,0.5931559205055237,0,0.3333333432674408,0.800000011920929,0.795377254486084,0.8181818127632141,0.0,0.319088339805603,0,0,0,0
