projector,precision/std,recall/std,f1/std
classifier_adapter_bert_ms,0.0,0.0,0.0
figer_L2AWE_adapter_bert_ms,0.12508837502710915,0.09918162467434634,0.10118864260412336
figer_classifier_adapter_bert_ms,0.08609383891386044,0.06609247690197892,0.07014162834189862
figer_kenn_cross_adapter_bert_ms,0.08119344302452292,0.06300055408641865,0.06338204546605726
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.08710224180778758,0.06245724367963559,0.05931458111794348
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.091452229245379,0.056874396989138605,0.06406998876699778
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.08389179533913166,0.059853231386789996,0.06767556415477252
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.08820625389550417,0.06649643104139782,0.06391625876530597
figer_kenn_vertical_hybrid_adapter_bert_ms,0.08762696758715251,0.0662943597865951,0.06817573633177312
figer_kenn_vertical_top_down_adapter_bert_ms,0.08028127982702729,0.06493425934411431,0.06679028300772584
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0.08034204750780041,0.07849179788113117,0.0727653696659267
ontonotes_shimaoka_classifier_adapter_bert_ms,0.07395534450923213,0.05599904182968089,0.06722689915895375
ontonotes_shimaoka_kenn_cross_adapter_bert_ms,0.07310149491214982,0.05287198533778485,0.06267965908375725
ontonotes_shimaoka_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.07458007942275743,0.06016360781783043,0.06414180775381483
ontonotes_shimaoka_kenn_cross_vertical_hybrid_adapter_bert_ms,0.0732267500369016,0.06295362108297481,0.06674843071650681
ontonotes_shimaoka_kenn_cross_vertical_top_down_adapter_bert_ms,0.06783168612721151,0.05798293461307831,0.061118011698527236
ontonotes_shimaoka_kenn_vertical_bottom_up_adapter_bert_ms,0.0729039646848347,0.05708348513538129,0.06236524086872858
ontonotes_shimaoka_kenn_vertical_hybrid_adapter_bert_ms,0.07966894111527002,0.06308688543055409,0.07035099526028282
ontonotes_shimaoka_kenn_vertical_top_down_adapter_bert_ms,0.06952674785536436,0.06323006624942999,0.06067706311710796
