projector,precision/mean,recall/mean,f1/mean
classifier_adapter_bert_ms,0.2598239011703092,0.2685250523683958,0.26410282901490456
figer_L2AWE_adapter_bert_ms,0.4779995505191516,0.5348183232228877,0.5048151789925025
figer_classifier_adapter_bert_ms,0.5389028529947003,0.6219291715972584,0.5774468619647259
figer_kenn_cross_adapter_bert_ms,0.5311116894641728,0.649390394836174,0.5843256599206417
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5514799406784668,0.6460866833334429,0.595046385986006
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.5256711752399018,0.6795653867486277,0.5927930611648824
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.4915130689348045,0.6803686145300928,0.5707232572248389
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.5663687515873136,0.6232944064887992,0.5934696262180651
figer_kenn_vertical_hybrid_adapter_bert_ms,0.5177276362419913,0.6632423296962914,0.5815200953675012
figer_kenn_vertical_top_down_adapter_bert_ms,0.4896981347548334,0.6626276583982664,0.5631871303803785
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0.4928238096957406,0.5668094057034243,0.5272337005497012
ontonotes_shimaoka_classifier_adapter_bert_ms,0.5032149420299551,0.5837383655046946,0.5404939949524772
ontonotes_shimaoka_kenn_cross_adapter_bert_ms,0.49002694760106114,0.6084493688356719,0.5428548299475493
ontonotes_shimaoka_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5103975943036443,0.5941814709487453,0.5491119701471896
ontonotes_shimaoka_kenn_cross_vertical_hybrid_adapter_bert_ms,0.47911571622254295,0.6120048116631152,0.5374678895278624
ontonotes_shimaoka_kenn_cross_vertical_top_down_adapter_bert_ms,0.4692528450804387,0.6183811529751932,0.5335933152080246
ontonotes_shimaoka_kenn_vertical_bottom_up_adapter_bert_ms,0.5218630440353432,0.5725108248818862,0.5460149411492271
ontonotes_shimaoka_kenn_vertical_hybrid_adapter_bert_ms,0.4831347850135021,0.6051874463854914,0.5373171628157831
ontonotes_shimaoka_kenn_vertical_top_down_adapter_bert_ms,0.4747578903027859,0.618953173522625,0.5373501513828031
