projector,precision/std,recall/std,f1/std
bbn_L2AWE_adapter_bert_ms,0.10543649692918534,0.058979790017848005,0.05235082646241848
bbn_classifier_adapter_bert_ms,0.09849996424794223,0.05343367162026167,0.04611013580906301
bbn_kenn_cross_adapter_bert_ms,0.07568744217757267,0.055200686448201204,0.049450858796016656
bbn_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.08513429070796869,0.06056130751213564,0.05091875601201836
bbn_kenn_cross_vertical_hybrid_adapter_bert_ms,0.06876278847015556,0.06072961068354547,0.04983511151247746
bbn_kenn_cross_vertical_top_down_adapter_bert_ms,0.06446658923158016,0.06004709815141457,0.0475379181162038
bbn_kenn_vertical_bottom_up_adapter_bert_ms,0.09406472544857049,0.061024740961390156,0.04992477301153375
bbn_kenn_vertical_hybrid_adapter_bert_ms,0.09068950240144595,0.07308831842822482,0.05610001500676349
bbn_kenn_vertical_top_down_adapter_bert_ms,0.07159300830444813,0.06322603322293067,0.04283608761496035
classifier_adapter_bert_ms,0.0,0.0,0.0
figer_L2AWE_adapter_bert_ms,0.12291472613840003,0.08486081795401303,0.07893428033651954
figer_classifier_adapter_bert_ms,0.10761580345424508,0.09050023129900035,0.08102720215396005
figer_kenn_cross_adapter_bert_ms,0.09784713553882445,0.09064088109284678,0.07535179488136971
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.10880088728975033,0.09516135699638222,0.08134275955203486
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.1063757042340272,0.08644670981793116,0.08307600659392354
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.08630291733021926,0.08387919291622886,0.07458071321009527
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.11597320412210559,0.09449493457075418,0.08632060639994821
figer_kenn_vertical_hybrid_adapter_bert_ms,0.11107191626520702,0.09040292705918666,0.08806221964634181
figer_kenn_vertical_top_down_adapter_bert_ms,0.10071306222936567,0.08986428207981634,0.0805121228525225
