projector,precision/mean,recall/mean,f1/mean
bbn_L2AWE_adapter_bert_ms,0.40756176109115283,0.29251335409469903,0.34058418918623157
bbn_classifier_adapter_bert_ms,0.38593115242818987,0.3273933391366154,0.3542603406007635
bbn_kenn_cross_adapter_bert_ms,0.3720767430216074,0.3596081083609412,0.3657361867483691
bbn_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.3842696918050448,0.33140499462684,0.3558848665804499
bbn_kenn_cross_vertical_hybrid_adapter_bert_ms,0.3540656291196743,0.35018866665040455,0.35211647642866467
bbn_kenn_cross_vertical_top_down_adapter_bert_ms,0.33229851476848127,0.37920669046541056,0.3542063195180818
bbn_kenn_vertical_bottom_up_adapter_bert_ms,0.39680199660360815,0.3245353379814575,0.3570486758557839
bbn_kenn_vertical_hybrid_adapter_bert_ms,0.3537954542040825,0.34050742194366956,0.3470242804547592
bbn_kenn_vertical_top_down_adapter_bert_ms,0.3335978896419207,0.3618305104256918,0.34714111380649465
classifier_adapter_bert_ms,0.32336422914018237,0.34895283650296427,0.33567157743978465
figer_L2AWE_adapter_bert_ms,0.415749917862316,0.34578368976712226,0.37755271514888394
figer_classifier_adapter_bert_ms,0.43344958094259106,0.3880272501707077,0.4094826356888507
figer_kenn_cross_adapter_bert_ms,0.4266959396004677,0.4231423356632391,0.42491170792357225
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.4456595624486605,0.40918668538331987,0.42664504787904367
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.4290888987481594,0.43102730517586074,0.43005591771093915
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.39936472348868846,0.4495719058066607,0.4229836566241408
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.4554719162235657,0.380236789919436,0.41446781169147734
figer_kenn_vertical_hybrid_adapter_bert_ms,0.43131305051346625,0.4091816383165618,0.41995596874522184
figer_kenn_vertical_top_down_adapter_bert_ms,0.39457360584288836,0.4281817005947232,0.4106912376928222
