src,denoising,denoising_method,exclusive_test_filtered/macro_types/precision,exclusive_test_filtered/macro_types/recall,exclusive_test_filtered/macro_types/f1,exclusive_test_filtered/micro/precision,exclusive_test_filtered/micro/recall,exclusive_test_filtered/micro/f1,exclusive_test_filtered/macro_example/precision,exclusive_test_filtered/macro_example/recall,exclusive_test_filtered/macro_example/f1
bbn,-1.0,-1,0.3131894469261169,0.2883265614509582,0.3002441525459289,0.6687979698181152,0.7635036706924438,0.7130197882652283,0.7285353541374207,0.7787247896194458,0.7527944445610046
bbn,20.0,TTA,0.2756146589914958,0.288788100083669,0.2818778455257416,0.6566902200380961,0.7469586332639059,0.698755125204722,0.7148043314615885,0.7767782211303711,0.7444583376248678
bbn,20.0,TTAR,0.2582707603772481,0.28553001085917146,0.2710660547018051,0.6706209182739258,0.763503630956014,0.7137696941693624,0.734112004439036,0.7939815322558085,0.7628153761227926
bbn,20.0,TTR,0.2923567096392314,0.2769993742307027,0.2843248546123504,0.6583970983823141,0.7596107125282288,0.7053855260213217,0.7209911942481995,0.784617026646932,0.7514431476593018
figer,-1.0,-1,0.2308752387762069,0.2623018026351928,0.2455872148275375,0.7132505178451538,0.8202381134033203,0.763012170791626,0.7847437262535095,0.8338069915771484,0.8085317015647888
figer,20.0,TTA,0.22945082187652585,0.25438716014226276,0.2411730736494064,0.69066454966863,0.8281745910644531,0.7529723644256592,0.7700947920481364,0.8509078423182169,0.8082357048988342
figer,20.0,TTAR,0.23043564955393472,0.2539472679297129,0.24151872595151258,0.7339239517847697,0.8202381134033203,0.7746590773264567,0.7976284424463908,0.8456483284632365,0.8209240237871805
figer,20.0,TTR,0.22750318547089896,0.26365145047505695,0.24423345923423764,0.7545270125071207,0.8242063522338867,0.7877915302912394,0.8202101588249207,0.8509867986043295,0.8352869947751363
ontonotes_shimaoka,-1.0,-1,0.151766151189804,0.1869923174381256,0.1675477176904678,0.6493362784385681,0.7879194617271423,0.7119466066360474,0.7168725728988647,0.8052945137023926,0.7585153579711914
ontonotes_shimaoka,20.0,TTA,0.1177140871683756,0.15577789147694904,0.1334436809023221,0.49610844254493713,0.6894854704538981,0.5751955310503641,0.5813492139180502,0.7384294072786967,0.6488244334856669
ontonotes_shimaoka,20.0,TTAR,0.15209716061751044,0.19389922916889188,0.17015793422857914,0.5706502795219421,0.7807606061299642,0.6586478352546692,0.654763380686442,0.8182435234387716,0.7269264856974283
ontonotes_shimaoka,20.0,TTR,0.15872418880462646,0.20557030042012533,0.17913250625133512,0.6369898716608683,0.7928411761919657,0.7053410808245341,0.7124955455462137,0.8244569698969523,0.7639723420143127
