src,denoising,denoising_method,exclusive_test_filtered/macro_types/precision,exclusive_test_filtered/macro_types/recall,exclusive_test_filtered/macro_types/f1,exclusive_test_filtered/micro/precision,exclusive_test_filtered/micro/recall,exclusive_test_filtered/micro/f1,exclusive_test_filtered/macro_example/precision,exclusive_test_filtered/macro_example/recall,exclusive_test_filtered/macro_example/f1
bbn,-1.0,-1,0.444330632686615,0.4811520576477051,0.4620088338851928,0.7234153747558594,0.8075317740440369,0.7631626725196838,0.7433907985687256,0.8039516806602478,0.7724860906600952
bbn,20.0,TTA,0.45643553137779236,0.484839806954066,0.4699888428052266,0.7279385328292847,0.8366818825403849,0.7785198291142782,0.7552526791890463,0.8351552883783976,0.7931852539380392
bbn,20.0,TTAR,0.4453817407290141,0.474673867225647,0.4593339761098226,0.7368199030558268,0.8350804050763448,0.7827814618746439,0.7618823250134786,0.8332792917887369,0.795937200387319
bbn,20.0,TTR,0.42894838253657025,0.461294561624527,0.4443560838699341,0.7278005083401998,0.8325730363527933,0.7766115665435791,0.7589810887972513,0.8291898965835571,0.7925232251485189
figer,-1.0,-1,0.5164203643798828,0.6120495796203613,0.560183048248291,0.6918153762817383,0.8658208847045898,0.7690989375114441,0.7568426132202148,0.8775433301925659,0.8127360343933105
figer,20.0,TTA,0.5258386333783468,0.5908780097961426,0.556315282980601,0.7067711353302002,0.8839257756868998,0.7854212721188863,0.7705506682395935,0.8916702071825663,0.826670249303182
figer,20.0,TTAR,0.5319697260856628,0.5869600772857666,0.5578995943069458,0.7168516914049784,0.8692118922869364,0.7856974601745605,0.7735575636227926,0.8797382911046346,0.8232217828432719
figer,20.0,TTR,0.5324305494626363,0.6317729353904724,0.5777558286984762,0.7206077973047892,0.8590193390846252,0.7837230364481608,0.7780671914418539,0.8752779364585876,0.823810338973999
ontonotes_shimaoka,-1.0,-1,0.5542486310005188,0.5076358318328857,0.5299191474914551,0.7252340316772461,0.8112649321556091,0.7658409476280212,0.747069239616394,0.8297843933105469,0.7862573862075806
ontonotes_shimaoka,20.0,TTA,0.3635067567229271,0.37765924135843915,0.37019652624924976,0.6910241444905599,0.7094032267729441,0.6930667757987976,0.7072591781616211,0.7241469522317251,0.7099658449490865
ontonotes_shimaoka,20.0,TTAR,0.4839969476064046,0.4851285219192505,0.4845606784025828,0.7351870536804199,0.8417741457621256,0.7848376631736755,0.7627788782119751,0.8584227760632833,0.8077537020047506
ontonotes_shimaoka,20.0,TTR,0.4928946296374003,0.5015185872713724,0.49691613515218097,0.7503790855407715,0.8654005527496338,0.8037852247556051,0.7779697378476461,0.8735928138097128,0.8229988217353821
