projector,precision/mean,recall/mean,f1/mean
classifier_adapter_bert_ms,0.30322080436407733,0.24887049972159347,0.27337041011014196
figer_L2AWE_adapter_bert_ms,0.4811149561173168,0.47300602807336606,0.4770260338268873
figer_classifier_adapter_bert_ms,0.5259666086681056,0.5828233701626263,0.5529372330370779
figer_kenn_cross_adapter_bert_ms,0.5270580492358197,0.6171288469258958,0.5685482455340791
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5494573107806214,0.6152303721306421,0.5804866501833157
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.5194365194949665,0.646459847590641,0.5760286466371206
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.48355589975325164,0.6479108865258464,0.5537964268915816
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.5644802860915661,0.5800621206831318,0.5721651376060367
figer_kenn_vertical_hybrid_adapter_bert_ms,0.5133747162395402,0.6212604801056155,0.5621884879164978
figer_kenn_vertical_top_down_adapter_bert_ms,0.4907707399443576,0.6281393272516301,0.5510226629669543
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0.5002595584251379,0.5142870275712197,0.5071763186978557
ontonotes_shimaoka_classifier_adapter_bert_ms,0.5166242722209478,0.5490744702289241,0.5323553219646655
ontonotes_shimaoka_kenn_cross_adapter_bert_ms,0.5083153544222576,0.5757980022023905,0.5399563869896546
ontonotes_shimaoka_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5258854599669576,0.5625432256053675,0.5435970346430508
ontonotes_shimaoka_kenn_cross_vertical_hybrid_adapter_bert_ms,0.48215237326037724,0.5868630393882069,0.5293794717491849
ontonotes_shimaoka_kenn_cross_vertical_top_down_adapter_bert_ms,0.46831026459684627,0.6020384172565842,0.5268204189212154
ontonotes_shimaoka_kenn_vertical_bottom_up_adapter_bert_ms,0.5346002705689323,0.5402902726312739,0.537430211404591
ontonotes_shimaoka_kenn_vertical_hybrid_adapter_bert_ms,0.4815046960291894,0.5744154507196263,0.5238724497204195
ontonotes_shimaoka_kenn_vertical_top_down_adapter_bert_ms,0.46996301188738204,0.5920296603356275,0.5239810962453965
