type,projector,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
/person/legal,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/organization/military,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/location/transit/railway,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/other,bbn_L2AWE_adapter_bert_ms,0.8710497617721558,0.8108077645301819,0.8397666613260905,0.00820831261935292,0.02740258310826618,0.01846033431413131
/other/art/broadcast,bbn_L2AWE_adapter_bert_ms,0.4444444477558136,0.022222223381201427,0.04170740023255348,0.5091750761334156,0.01924500997669296,0.03617253909232899
/location/transit,bbn_L2AWE_adapter_bert_ms,0.6944444378217062,0.25,0.35521886001030606,0.17347215866852647,0.16535945694153692,0.21262166662665136
/other/heritage,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/organization/company/broadcast,bbn_L2AWE_adapter_bert_ms,0.7552669644355774,0.5882353186607361,0.658506174882253,0.05531194755295027,0.05882352590560913,0.02513580479640743
/person/political_figure,bbn_L2AWE_adapter_bert_ms,0.3333333333333333,0.0017636683769524097,0.0035087717697024345,0.5773502691896258,0.0030547632365841124,0.00607737097728798
/other/health,bbn_L2AWE_adapter_bert_ms,0.07070707281430562,0.08974359432856242,0.07909604907035828,0.12246824256884947,0.15544046503092024,0.1369983756678216
/location/structure,bbn_L2AWE_adapter_bert_ms,0.1914266124367714,0.19770115117232004,0.1805573950211207,0.13327086260194015,0.017355935738157347,0.06298968664541375
/location/transit/road,bbn_L2AWE_adapter_bert_ms,0.5833333333333334,0.2857142885526021,0.381818155447642,0.5204164998665332,0.24743583211075088,0.33178702465868753
/organization/government,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/location/structure/sports_facility,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/organization/stock_exchange,bbn_L2AWE_adapter_bert_ms,0.5842490990956625,0.42424242695172626,0.4685185452302297,0.11424520691728197,0.2287828546771829,0.17535972418803658
/other/health/treatment,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/location/country,bbn_L2AWE_adapter_bert_ms,0.8090548117955526,0.18279569471875826,0.2625917059679826,0.28092261594223183,0.23038041706542578,0.30001544422182813
/location/geography,bbn_L2AWE_adapter_bert_ms,0.2261918360988299,0.09139784673849742,0.11839901780088742,0.2159875669454095,0.056643298058418216,0.07267448994748778
/location,bbn_L2AWE_adapter_bert_ms,0.4257651666800181,0.7483660181363424,0.5379322469234467,0.13623455576640123,0.05622815747011842,0.12273586386181486
/organization/company/news,bbn_L2AWE_adapter_bert_ms,0.2976190447807312,0.12820513049761453,0.1792114774386088,0.5154913068603433,0.22205779981286652,0.31040338422315406
/other/product/car,bbn_L2AWE_adapter_bert_ms,0.6434676647186279,0.23611111442248026,0.33707257111867267,0.06369133371649642,0.12028130321344221,0.12946771642985386
/location/city,bbn_L2AWE_adapter_bert_ms,0.9181561867396036,0.1975806454817454,0.32341893513997394,0.06719757275902494,0.032005056636435374,0.037818186120332685
/person/military,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/other/product/computer,bbn_L2AWE_adapter_bert_ms,0.4722222288449605,0.5555555621782938,0.5079365173975626,0.4110735765586808,0.5091750793851156,0.45007768549750443
/other/body_part,bbn_L2AWE_adapter_bert_ms,0.3333333333333333,0.055555557211240135,0.09523809949556987,0.5773502691896258,0.09622504773266743,0.16495722714262687
/person/title,bbn_L2AWE_adapter_bert_ms,0.3216117322444916,0.4333333373069763,0.36908213297526044,0.2796683610149406,0.37541088998790817,0.32027783750985084
/other/art/writing,bbn_L2AWE_adapter_bert_ms,0.09379509588082631,0.018939394503831863,0.03119883748392264,0.09527088683994388,0.02365529615346152,0.037912865453550534
/location/geography/body_of_water,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/location/park,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/location/structure/government,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/other/living_thing/animal,bbn_L2AWE_adapter_bert_ms,0.8333333333333334,0.2916666666666667,0.40740741789340973,0.2886751345948129,0.19094065395649334,0.23129623104448108
/other/product,bbn_L2AWE_adapter_bert_ms,0.6647606690724691,0.21568628152211508,0.3213092088699341,0.11833287611329874,0.05098039771501835,0.05184097022228168
/organization,bbn_L2AWE_adapter_bert_ms,0.6960172653198242,0.3624526560306549,0.4754044711589813,0.07618886361406953,0.06849674143134804,0.07478041108747434
/other/scientific,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/other/event,bbn_L2AWE_adapter_bert_ms,0.10868606716394424,0.3608562648296356,0.16692577302455902,0.0075227943953827,0.0521673466130349,0.014439217652766017
/other/product/software,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
/person/artist,bbn_L2AWE_adapter_bert_ms,0.18627451236049333,0.03153153229504824,0.05202821952601274,0.186233228559263,0.020642233360000456,0.03800081459266699
/organization/company,bbn_L2AWE_adapter_bert_ms,0.8475466767946879,0.025666017085313797,0.049512871230642,0.03242977553138655,0.015786264722238465,0.029549291714876892
/organization/education,bbn_L2AWE_adapter_bert_ms,0.07407407462596893,0.06666666766007741,0.07017543911933899,0.12830006077582679,0.11547005555856305,0.12154742599815167
