src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.626,0.521,0.569,0.619,0.43,0.508,0.067,0.043,0.053
BBN,L2AWE,0.708,0.616,0.659,0.688,0.53,0.599,0.334,0.163,0.219
BBN,classifier,0.689,0.622,0.654,0.666,0.545,0.599,0.338,0.217,0.264
BBN,kenn bottom up,0.68,0.633,0.656,0.653,0.556,0.601,0.343,0.219,0.268
BBN,kenn cross,0.671,0.634,0.652,0.639,0.563,0.598,0.352,0.255,0.295
BBN,kenn cross bottom up,0.675,0.643,0.658,0.64,0.57,0.603,0.363,0.248,0.295
BBN,kenn cross hybrid,0.668,0.629,0.648,0.638,0.559,0.596,0.352,0.265,0.302
BBN,kenn cross top down,0.652,0.607,0.629,0.627,0.542,0.581,0.344,0.272,0.303
BBN,kenn hybrid,0.673,0.624,0.647,0.649,0.55,0.596,0.358,0.241,0.288
BBN,kenn top down,0.675,0.613,0.642,0.653,0.54,0.591,0.346,0.252,0.292
FIGER,L2AWE,0.711,0.638,0.672,0.679,0.545,0.605,0.38,0.196,0.259
FIGER,classifier,0.733,0.688,0.71,0.697,0.611,0.651,0.442,0.357,0.395
FIGER,kenn bottom up,0.734,0.707,0.721,0.691,0.625,0.656,0.459,0.328,0.383
FIGER,kenn cross,0.721,0.712,0.716,0.68,0.645,0.662,0.466,0.407,0.434
FIGER,kenn cross bottom up,0.729,0.724,0.727,0.683,0.65,0.666,0.467,0.375,0.416
FIGER,kenn cross hybrid,0.732,0.708,0.72,0.69,0.636,0.662,0.459,0.402,0.428
FIGER,kenn cross top down,0.716,0.689,0.702,0.678,0.624,0.65,0.446,0.426,0.436
FIGER,kenn hybrid,0.739,0.694,0.716,0.702,0.613,0.655,0.45,0.362,0.401
FIGER,kenn top down,0.718,0.673,0.695,0.685,0.6,0.64,0.423,0.394,0.408
