metric,projector,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_person-terrorist/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_transportation-road/macro_types,bbn_L2AWE_adapter_bert_ms,0.5888889034589132,0.5833333333333334,0.579365074634552,0.08388706007038475,0.14433756729740646,0.08361631161416669
test_software/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-computer/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_location-city/macro_types,bbn_L2AWE_adapter_bert_ms,0.6543209751447042,0.8974359035491943,0.7552798986434937,0.08603309631609936,0.025641024112701416,0.06376913238861046
test_building/macro_types,bbn_L2AWE_adapter_bert_ms,0.6987013022104899,0.8627451062202454,0.7718204259872437,0.01627268549952901,0.03396177851628636,0.01651148278873191
test_person-monarch/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_award/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_time/macro_types,bbn_L2AWE_adapter_bert_ms,1.0,0.692307690779368,0.8169312477111816,0.0,0.06661731757556745,0.04765427067993617
test_art-film/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_computer-programming_language/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_news_agency/macro_types,bbn_L2AWE_adapter_bert_ms,0.4888888994852702,1.0,0.6271234055360159,0.2775554667545574,0.0,0.2388391351427202
test_education-department/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_event/macro_types,bbn_L2AWE_adapter_bert_ms,0.26851852238178253,0.3333333333333333,0.28113552927970886,0.057824060445477665,0.14433756729740643,0.029117427140203215
test_play/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_visual_art-color/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-politician/macro_types,bbn_L2AWE_adapter_bert_ms,0.11706349502007167,0.20000000298023224,0.14605329930782318,0.030545247988522782,0.0,0.025421977107349374
test_government/macro_types,bbn_L2AWE_adapter_bert_ms,0.044444446762402855,0.6666666666666666,0.08333333333333333,0.03849001995338592,0.5773502691896258,0.07216878364870323
test_broadcast-tv_channel/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-architect/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_title/macro_types,bbn_L2AWE_adapter_bert_ms,0.15128205716609955,1.0,0.26255837082862854,0.016813943931918478,0.0,0.02545990805058208
test_biology/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_visual_art/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_people-ethnicity/macro_types,bbn_L2AWE_adapter_bert_ms,0.4570707082748413,1.0,0.6266340017318726,0.04172402369760365,0.0,0.0392412071411827
test_organization-airline/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_government-political_party/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_building-theater/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_government_agency/macro_types,bbn_L2AWE_adapter_bert_ms,0.6222222447395325,0.75,0.6797385613123575,0.03849001565179121,0.0,0.022641151264766523
test_person-athlete/macro_types,bbn_L2AWE_adapter_bert_ms,0.3475529154141744,0.39393940567970276,0.363456795612971,0.08497261459448542,0.052486389672364055,0.040445609693254496
test_building-restaurant/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_people/macro_types,bbn_L2AWE_adapter_bert_ms,0.4463869531949361,1.0,0.6157407363255819,0.05812334293621811,0.0,0.05613130293669183
test_language/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_newspaper/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-doctor/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-religious_leader/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-actor/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_rail-railway/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_law/macro_types,bbn_L2AWE_adapter_bert_ms,0.5555555621782938,0.6666666666666666,0.600000003973643,0.09622505633585686,0.28867513459481287,0.17320508763943926
test_building-sports_facility/macro_types,bbn_L2AWE_adapter_bert_ms,0.9444444378217062,1.0,0.9696969787279764,0.09622505633585687,0.0,0.05248637246598519
test_organization-sports_league/macro_types,bbn_L2AWE_adapter_bert_ms,0.8888888955116272,1.0,0.9411765336990356,0.0,0.0,0.0
test_finance/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-airplane/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_medicine-symptom/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_finance-currency/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_food/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_medicine-drug/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test/micro,bbn_L2AWE_adapter_bert_ms,0.6088399887084961,0.7849206328392029,0.6849755843480428,0.034467044121304156,0.021173507867462926,0.013889755359247176
test_event-election/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_finance-stock_exchange/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_government-government/macro_types,bbn_L2AWE_adapter_bert_ms,0.06825397163629532,1.0,0.12777778009573618,0.0027492868322708,0.0,0.0048112562580686115
test_person-coach/macro_types,bbn_L2AWE_adapter_bert_ms,1.0,1.0,1.0,0.0,0.0,0.0
test_organization-company/macro_types,bbn_L2AWE_adapter_bert_ms,0.3741830090681712,0.761904756228129,0.5012466410795847,0.025040022375615593,0.08987899772584353,0.03833082379482299
test_event-attack/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_organization-educational_institution/macro_types,bbn_L2AWE_adapter_bert_ms,0.648556649684906,0.95652174949646,0.7725641926129659,0.03821646771355857,0.0,0.027124216615842644
test_building-dam/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test/macro_example,bbn_L2AWE_adapter_bert_ms,0.6613472700119019,0.7827314337094625,0.7163069645563761,0.030757268271005434,0.02065047812640795,0.009622121482440077
test_person-author/macro_types,bbn_L2AWE_adapter_bert_ms,0.026984127859274547,0.3333333333333333,0.04981884111960729,0.024436197931049265,0.2886751345948129,0.04484381876664448
test_person-engineer/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-engine_device/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_organization/macro_types,bbn_L2AWE_adapter_bert_ms,0.8383377989133199,0.8983740011850992,0.8668078581492106,0.03174663066389113,0.023085005371372435,0.012178200355931161
test_geography/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_medicine/macro_types,bbn_L2AWE_adapter_bert_ms,0.9166666666666666,1.0,0.9523809552192688,0.14433756729740646,0.0,0.08247860496812401
test_god/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-soldier/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_geography-island/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_metropolitan_transit-transit_line/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_internet-website/macro_types,bbn_L2AWE_adapter_bert_ms,0.8888888955116272,1.0,0.9333333373069763,0.19245007825895602,0.0,0.1154700469553736
test_event-natural_disaster/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_astral_body/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_broadcast_program/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_building-airport/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-artist/macro_types,bbn_L2AWE_adapter_bert_ms,0.05968720962603887,0.5,0.10350877543290456,0.006590204232371837,0.25,0.0030386873705939618
test_medicine-medical_treatment/macro_types,bbn_L2AWE_adapter_bert_ms,0.3333333432674408,1.0,0.5,0.0,0.0,0.0
test_event-terrorist_attack/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_geography-glacier/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_event-sports_event/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_military/macro_types,bbn_L2AWE_adapter_bert_ms,0.5333333412806193,1.0,0.694444457689921,0.057735040684065646,0.0,0.04811251096154957
test_living_thing-animal/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_building-hotel/macro_types,bbn_L2AWE_adapter_bert_ms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5773502691896258,0.5773502691896258,0.5773502691896258
test_person/macro_types,bbn_L2AWE_adapter_bert_ms,0.8512565493583679,0.7704918185869852,0.8084447582562765,0.015870864231388906,0.02868852445057503,0.00919961755700951
test_organization-terrorist_organization/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_religion-religion/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_art/macro_types,bbn_L2AWE_adapter_bert_ms,0.8333333333333334,0.11904762436946233,0.20185185968875885,0.28867513459481287,0.04123930678565672,0.06094252727240024
test_chemistry/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-weapon/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_building-hospital/macro_types,bbn_L2AWE_adapter_bert_ms,1.0,1.0,1.0,0.0,0.0,0.0
test_rail/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-camera/macro_types,bbn_L2AWE_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_event-military_conflict/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-instrument/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_person-director/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_building-library/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_metropolitan_transit/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_broadcast_network/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_organization-fraternity_sorority/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_geography-mountain/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-ship/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_park/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_location/macro_types,bbn_classifier_adapter_bert_ms,0.5386236310005188,0.8660130699475607,0.6614190538724264,0.06454637996535904,0.03962207247761687,0.03628776687032163
test_religion/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_location-bridge/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product-mobile_phone/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_living_thing/macro_types,bbn_classifier_adapter_bert_ms,0.3333333333333333,0.11111111442248027,0.16666666666666666,0.5773502691896258,0.19245009546533487,0.2886751345948129
test_broadcast/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_transit/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_organization-sports_team/macro_types,bbn_classifier_adapter_bert_ms,0.9485266407330831,0.774193545182546,0.8498652378718058,0.015392176651914842,0.0967741906642929,0.05414172862430572
test_education/macro_types,bbn_classifier_adapter_bert_ms,0.9047619104385376,0.46666666865348816,0.5,0.16495720993624802,0.46188021363106274,0.28867516900757056
test_game/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_product/macro_types,bbn_classifier_adapter_bert_ms,0.6666666666666666,0.16666666666666666,0.26666667064030963,0.5773502691896258,0.14433756729740646,0.2309401111171261
test_product-spacecraft/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
test_location-country/macro_types,bbn_classifier_adapter_bert_ms,1.0,0.9444444378217062,0.9696969787279764,0.0,0.09622505633585687,0.05248637246598519
test_music/macro_types,bbn_classifier_adapter_bert_ms,0.0,0.0,0.0,0.0,0.0,0.0
