projector,precision/std,recall/std,f1/std
bbn_L2AWE_adapter_bert_ms,0.13187479098780716,0.077299075823339,0.07430124380289958
bbn_classifier_adapter_bert_ms,0.11173706769023832,0.072154366972972,0.061920465122483316
bbn_kenn_cross_adapter_bert_ms,0.09268182500005517,0.07418970628168352,0.06079059531171557
bbn_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.0964984470308418,0.07282220600056723,0.06387802876722494
bbn_kenn_cross_vertical_hybrid_adapter_bert_ms,0.09844366188830188,0.07996067710638284,0.06619129526180452
bbn_kenn_cross_vertical_top_down_adapter_bert_ms,0.07752164463116712,0.07455654478541732,0.06016280136701228
bbn_kenn_vertical_bottom_up_adapter_bert_ms,0.11745614122885002,0.08169114897305153,0.06935752728951554
bbn_kenn_vertical_hybrid_adapter_bert_ms,0.11144753804167044,0.07432512924733448,0.06500174374646116
bbn_kenn_vertical_top_down_adapter_bert_ms,0.0918686752003573,0.07591745444630135,0.06201027058902325
classifier_adapter_bert_ms,0.0,0.0,0.0
figer_L2AWE_adapter_bert_ms,0.13127362028978493,0.08865039609784096,0.08154288938935028
figer_classifier_adapter_bert_ms,0.1101614225554614,0.08080515009661413,0.07299014685842131
figer_kenn_cross_adapter_bert_ms,0.08342253791355347,0.0753620287553431,0.0641529692999782
figer_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.08779954134600698,0.07382416044570642,0.06489843678130681
figer_kenn_cross_vertical_hybrid_adapter_bert_ms,0.09851312949545465,0.07577017080197315,0.07169396867134707
figer_kenn_cross_vertical_top_down_adapter_bert_ms,0.09530312623409344,0.07492899992587328,0.07699420809852846
figer_kenn_vertical_bottom_up_adapter_bert_ms,0.13138500540243594,0.08121475067034341,0.080933957624944
figer_kenn_vertical_hybrid_adapter_bert_ms,0.1076091947234087,0.08474298261763019,0.07804273954017187
figer_kenn_vertical_top_down_adapter_bert_ms,0.11105072283814764,0.08424616570745035,0.0831215874005163
