metric,projector,instance,precision,recall,f1
test_other-event/macro_types,classifier_adapter_bert_ms,0,0.07010309398174286,0.31192660331726074,0.11447811126708984
test_other-product-software/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist/macro_types,classifier_adapter_bert_ms,0,0.07594936341047287,0.2432432472705841,0.1157556176185608
test_other-event-accident/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-mobile_phone/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-coach/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-celestial/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company/macro_types,classifier_adapter_bert_ms,0,0.8285714387893677,0.028265107423067093,0.05466541275382042
test_organization-education/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person/macro_types,classifier_adapter_bert_ms,0,0.3687222003936768,0.5132743120193481,0.4291528165340424
test_other-legal/macro_types,classifier_adapter_bert_ms,0,0.07500000298023224,0.011152416467666626,0.019417475908994675
test_person-artist-author/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art/macro_types,classifier_adapter_bert_ms,0,0.1428571492433548,0.03787878900766373,0.05988023802638054
test_other-event-violent_conflict/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-food/macro_types,classifier_adapter_bert_ms,0,0.1428571492433548,0.19512194395065308,0.1649484634399414
test/macro_types,classifier_adapter_bert_ms,0,0.14100778102874756,0.09339941293001176,0.11236894130706788
test_other-currency/macro_types,classifier_adapter_bert_ms,0,0.320474773645401,0.6352941393852234,0.42603549361228943
test_organization-transit/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-weapon/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-sports_and_leisure/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-theater/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-hotel/macro_types,classifier_adapter_bert_ms,0,1.0,0.800000011920929,0.888888955116272
test_person-religious_leader/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-political_party/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-living_thing/macro_types,classifier_adapter_bert_ms,0,1.0,0.01923076994717121,0.03773585334420204
test/macro_example,classifier_adapter_bert_ms,0,0.6207650303840637,0.5757596492767334,0.5974159240722656
test_location-transit-bridge/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-geography-mountain/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-supernatural/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-artist-director/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-holiday/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-legal/macro_types,classifier_adapter_bert_ms,0,0.1666666716337204,0.010309278033673763,0.019417475908994675
test_organization-sports_league/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-military/macro_types,classifier_adapter_bert_ms,0,0.6666666865348816,0.4444444477558136,0.5333333015441895
test_location-transit-railway/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-art-stage/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-language/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other/macro_types,classifier_adapter_bert_ms,0,0.8541353344917297,0.8668814897537231,0.8604611754417419
test_location-structure-airport/macro_types,classifier_adapter_bert_ms,0,1.0,1,1.0
