projector,precision/mean,recall/mean,f1/mean
bbn_L2AWE_adapter_bert_ms,0.48104858405963336,0.4619544969514163,0.4713082303404587
bbn_classifier_adapter_bert_ms,0.5228171713574968,0.46169402386353475,0.4903581894460866
bbn_kenn_cross_adapter_bert_ms,0.5167447421135325,0.4813801882920241,0.4984359646371196
bbn_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5225924081874617,0.46706814740342323,0.4932727015546812
bbn_kenn_cross_vertical_hybrid_adapter_bert_ms,0.5079187862198763,0.48598285128522406,0.4967087499082603
bbn_kenn_cross_vertical_top_down_adapter_bert_ms,0.5012434234823843,0.4853199689903043,0.49315319136534663
bbn_kenn_vertical_bottom_up_adapter_bert_ms,0.488792670044032,0.44462614344677537,0.4656644941919642
bbn_kenn_vertical_hybrid_adapter_bert_ms,0.5088208516438802,0.4789062165702232,0.493410531744158
bbn_kenn_vertical_top_down_adapter_bert_ms,0.5133129551705687,0.487230457779434,0.4999317428805419
classifier_adapter_bert_ms,0.5174024919367799,0.5570309863736232,0.5364859272422107
ontonotes_shimaoka_L2AWE_adapter_bert_ms,0.4925563202211351,0.48677775036129683,0.48964998703841434
ontonotes_shimaoka_classifier_adapter_bert_ms,0.47899156120238884,0.4882181627356043,0.48356085384245184
ontonotes_shimaoka_kenn_cross_adapter_bert_ms,0.5388041314377328,0.5136221407564602,0.5259118643256546
ontonotes_shimaoka_kenn_cross_vertical_bottom_up_adapter_bert_ms,0.5301566811071502,0.5011460378841318,0.5152433234240226
ontonotes_shimaoka_kenn_cross_vertical_hybrid_adapter_bert_ms,0.539303518455438,0.5125897376976831,0.525607417763062
ontonotes_shimaoka_kenn_cross_vertical_top_down_adapter_bert_ms,0.5314521942325312,0.5176917999945205,0.5244817576179812
ontonotes_shimaoka_kenn_vertical_bottom_up_adapter_bert_ms,0.5266249281815206,0.4823682972164166,0.5035260167945169
ontonotes_shimaoka_kenn_vertical_hybrid_adapter_bert_ms,0.5065143331885338,0.5045799428992199,0.505545287639874
ontonotes_shimaoka_kenn_vertical_top_down_adapter_bert_ms,0.5085114064165438,0.5049221220266337,0.5067104081251749
